asv_id,DC01,DC02,DC30,DC31
ASV_1,0,38,28,6152
ASV_2,0,0,3214,0
ASV_3,88,0,2724,194
ASV_4,0,0,2981,25
ASV_5,1003,761,183,850
ASV_6,0,0,2724,0
ASV_7,1252,83,465,402
ASV_8,234,438,1245,179
ASV_9,0,0,2022,0
ASV_10,0,222,1307,435
ASV_11,0,0,1810,0
ASV_12,194,0,1412,179
ASV_13,13,1191,12,560
ASV_14,579,551,78,327
ASV_15,36,821,7,486
ASV_16,0,2,118,1210
ASV_17,326,478,221,287
ASV_18,0,0,1282,0
ASV_19,0,1220,0,0
ASV_20,11,0,0,1116
ASV_21,143,179,517,278
ASV_22,0,0,837,271
ASV_23,318,510,2,2
ASV_24,0,0,0,824
ASV_25,117,116,242,235
ASV_26,42,403,0,240
ASV_27,364,45,275,0
ASV_28,0,10,446,216
ASV_29,13,2,625,10
ASV_30,0,0,639,0
ASV_31,10,231,240,132
ASV_32,0,613,0,0
ASV_33,0,0,608,0
ASV_34,345,232,17,0
ASV_35,528,0,36,4
ASV_36,0,0,0,519
ASV_37,45,0,159,284
ASV_38,197,6,25,231
ASV_39,0,20,439,0
ASV_40,456,0,0,0
ASV_41,56,259,0,131
ASV_42,0,355,50,41
ASV_43,0,351,88,0
ASV_44,0,438,0,0
ASV_45,0,13,352,71
ASV_46,83,206,131,5
ASV_47,116,25,169,103
ASV_48,0,0,0,400
ASV_49,0,283,29,85
ASV_50,0,0,394,0
ASV_51,23,22,202,130
ASV_52,0,206,145,0
ASV_53,0,0,337,3
ASV_54,338,0,0,0
ASV_55,9,31,16,281
ASV_56,335,0,0,0
ASV_57,0,0,0,329
ASV_58,0,329,0,0
ASV_59,3,6,71,227
ASV_60,103,203,0,0
ASV_61,0,0,263,43
ASV_62,0,0,256,35
ASV_63,0,0,287,0
ASV_64,0,0,277,0
ASV_65,0,0,269,0
ASV_66,0,0,267,0
ASV_67,144,54,0,65
ASV_68,0,262,0,0
ASV_69,0,0,257,0
ASV_70,0,0,256,0
ASV_71,0,0,256,0
ASV_72,0,0,242,0
ASV_73,0,0,237,0
ASV_74,0,0,234,0
ASV_75,142,44,0,46
ASV_76,208,0,23,0
ASV_77,0,0,230,0
ASV_78,0,0,0,227
ASV_79,0,0,0,212
ASV_80,2,14,126,57
ASV_81,0,0,0,197
ASV_82,0,0,190,0
ASV_83,27,53,89,0
ASV_84,0,169,0,0
ASV_85,0,0,168,0
ASV_86,19,83,0,64
ASV_87,0,0,166,0
ASV_88,0,0,163,0
ASV_89,75,21,0,65
ASV_90,0,0,158,0
ASV_91,0,0,158,0
ASV_92,81,69,2,5
ASV_93,0,0,157,0
ASV_94,37,0,5,114
ASV_95,21,7,118,10
ASV_96,86,50,10,9
ASV_97,0,0,0,154
ASV_98,0,0,0,153
ASV_99,0,0,145,0
ASV_100,32,0,0,111
ASV_101,0,0,140,0
ASV_102,0,0,138,0
ASV_103,66,0,56,13
ASV_104,0,132,0,0
ASV_105,0,130,0,0
ASV_106,0,0,124,0
ASV_107,30,22,0,70
ASV_108,0,0,121,0
ASV_109,19,20,51,30
ASV_110,0,0,119,0
ASV_111,0,0,119,0
ASV_112,0,116,0,0
ASV_113,0,0,110,0
ASV_114,0,0,110,0
ASV_115,0,0,109,0
ASV_116,0,0,109,0
ASV_117,13,4,21,68
ASV_118,0,0,5,101
ASV_119,0,0,62,43
ASV_120,0,104,0,0
ASV_121,0,103,0,0
ASV_122,0,0,0,101
ASV_123,0,100,0,0
ASV_124,38,21,38,0
ASV_125,0,0,0,97
ASV_126,0,0,97,0
ASV_127,11,6,34,42
ASV_128,0,0,0,92
ASV_129,0,0,90,0
ASV_130,89,0,0,0
ASV_131,0,0,0,89
ASV_132,0,0,0,86
ASV_133,37,48,0,0
ASV_134,0,0,85,0
ASV_135,0,0,84,0
ASV_136,0,84,0,0
ASV_137,81,0,0,0
ASV_138,80,0,0,0
ASV_139,0,0,79,0
ASV_140,0,79,0,0
ASV_141,0,0,24,54
ASV_142,0,0,74,0
ASV_143,0,31,0,39
ASV_144,0,70,0,0
ASV_145,0,0,69,0
ASV_146,0,0,65,0
ASV_147,0,64,0,0
ASV_148,0,0,33,30
ASV_149,0,0,63,0
ASV_150,62,0,0,0
ASV_151,0,0,22,40
ASV_152,0,0,62,0
ASV_153,61,0,0,0
ASV_154,0,0,56,0
ASV_155,54,0,0,0
ASV_156,54,0,0,0
ASV_157,0,0,53,0
ASV_158,0,0,0,51
ASV_159,0,0,0,50
ASV_160,48,0,0,0
ASV_161,0,0,47,0
ASV_162,0,0,47,0
ASV_163,0,0,46,0
ASV_164,0,0,46,0
ASV_165,9,0,36,0
ASV_166,0,0,0,45
ASV_167,25,0,0,19
ASV_168,22,0,17,5
ASV_169,0,0,0,44
ASV_170,43,0,0,0
ASV_171,0,0,0,43
ASV_172,0,0,42,0
ASV_173,0,0,42,0
ASV_174,0,0,40,0
ASV_175,39,0,0,0
ASV_176,39,0,0,0
ASV_177,0,0,39,0
ASV_178,0,0,39,0
ASV_179,0,0,39,0
ASV_180,0,0,0,38
ASV_181,0,0,38,0
ASV_182,0,0,37,0
ASV_183,0,0,37,0
ASV_184,0,0,36,0
ASV_185,0,0,0,35
ASV_186,0,0,35,0
ASV_187,34,0,0,0
ASV_188,0,0,34,0
ASV_189,0,0,0,33
ASV_190,0,0,0,33
ASV_191,0,0,33,0
ASV_192,0,0,33,0
ASV_193,0,0,0,32
ASV_194,0,0,32,0
ASV_195,0,0,32,0
ASV_196,0,0,31,0
ASV_197,0,0,0,30
ASV_198,0,0,30,0
ASV_199,0,0,29,0
ASV_200,0,0,28,0
ASV_201,0,0,28,0
ASV_202,0,0,27,0
ASV_203,0,0,27,0
ASV_204,26,0,0,0
ASV_205,0,0,0,26
ASV_206,0,5,0,21
ASV_207,0,0,26,0
ASV_208,25,0,0,0
ASV_209,0,0,25,0
ASV_210,0,0,0,24
ASV_211,0,0,0,24
ASV_212,0,0,24,0
ASV_213,0,0,24,0
ASV_214,0,0,0,23
ASV_215,0,0,23,0
ASV_216,0,0,23,0
ASV_217,0,0,22,0
ASV_218,0,0,21,0
ASV_219,0,0,20,0
ASV_220,0,0,20,0
ASV_221,0,0,20,0
ASV_222,0,0,19,0
ASV_223,0,0,19,0
ASV_224,0,0,0,18
ASV_225,0,0,18,0
ASV_226,0,0,18,0
ASV_227,0,0,0,17
ASV_228,16,0,0,0
ASV_229,0,0,0,16
ASV_230,0,0,0,16
ASV_231,0,0,16,0
ASV_232,0,0,16,0
ASV_233,0,0,16,0
ASV_234,0,0,15,0
ASV_235,0,0,0,14
ASV_236,0,0,14,0
ASV_237,0,0,12,0
ASV_238,0,0,12,0
ASV_239,0,0,11,0
ASV_240,0,0,11,0
ASV_241,10,0,0,0
ASV_242,0,0,0,10
ASV_243,0,0,10,0
ASV_244,0,0,10,0
ASV_245,0,10,0,0
ASV_246,0,0,9,0
ASV_247,0,0,9,0
ASV_248,0,0,9,0
ASV_249,0,0,9,0
ASV_250,0,0,8,0
ASV_251,0,0,0,7
ASV_252,0,0,0,7
ASV_253,0,0,7,0
ASV_254,0,0,7,0
ASV_255,0,0,6,0
ASV_256,0,0,6,0
ASV_257,0,6,0,0
ASV_258,0,0,0,5
ASV_259,0,0,5,0
ASV_260,0,0,5,0
ASV_261,0,0,5,0
ASV_262,0,0,0,4
ASV_263,0,0,4,0
ASV_264,0,0,0,3
ASV_265,0,0,0,3
ASV_266,0,0,3,0
ASV_267,0,0,3,0
ASV_268,0,3,0,0
ASV_269,0,0,0,2
ASV_270,0,0,2,0
